CD;FILIALNAME;DATAT0;DATATF;TIPOMATERIAL;COD_MATERIAL;NOME_MATERIAL;UM;QTDE_SALDO_INIC;QTDE_SALDO_FINAL;QTDE_E_TOTAL;QTDE_S_TOTAL;QTDE_E_NF;QTDE_S_PAC;QTDE_E_INI_SD;QTDE_S_OUTR;QTDE_E_DEVOL;QTDE_S_PERDA;QTDE_E_INVENT;QTDE_S_INVENT;QTDE_E_3OS;QTDE_S_DEVOL;QTDE_S_3OS;VALOR_INIC;VALOR_FINAL;VALOR_E_TOTAL;VALOR_S_TOTAL;VALOR_E_NF;VALOR_S_PAC;VALOR_E_INI_SD;VALOR_S_OUTR;VALOR_E_DEVOL;VALOR_S_PERDA;VALOR_E_INVENT;VALOR_S_INVENT;VALOR_E_3OS;VALOR_S_DEVOL;VALOR_S_3OS
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;637402;DIBEN 1.5 KCAL HP | PACK 1000 ml;Bolsa;108,00;121,00;112,00;99,00;112,00;99,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4729,52;5373,24;5040,00;4396,28;5040,00;4396,28;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;637988;FRESUBIN ENERGY| PACK 1000ML;Bolsa;8,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;242,00;242,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;636911;FRESUBIN ORIGINAL FIBRE | PACK 1000ML;Bolsa;104,00;175,00;240,00;169,00;200,00;129,00;0,00;0,00;0,00;0,00;40,00;40,00;0,00;0,00;0,00;3055,81;4830,35;6439,28;4664,74;5335,20;3560,66;0,00;0,00;0,00;0,00;1104,08;1104,08;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;638681;PEPTAMEN JUNIOR| PACK 500ML;Bolsa;36,00;13,00;10,00;33,00;10,00;33,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2340,00;845,00;650,00;2145,00;650,00;2145,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;639844;NUTREN JUST PROTEIN|SACHE 15G;SACHE;307,00;337,00;810,00;780,00;810,00;780,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2238,02;2456,73;5904,90;5686,19;5904,90;5686,19;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;636217;NUTRIDRINK PROTEIN SEM SABOR LATA 350G;Lata;6,00;7,00;8,00;7,00;8,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;390,00;455,00;520,00;455,00;520,00;455,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;638956;DIBEN 1.0 | PACK 1000ML;Bolsa;31,00;61,00;80,00;50,00;80,00;50,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1061,15;1990,00;2560,00;1631,15;2560,00;1631,15;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;638844;FREBINI ENERGY DRINK | 200ML MORANGO;Frasco;91,00;244,00;368,00;215,00;360,00;208,00;0,00;0,00;0,00;0,00;8,00;7,00;0,00;0,00;0,00;1085,74;2924,61;4415,89;2577,02;4320,00;2493,12;0,00;0,00;0,00;0,00;95,89;83,90;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;640539;FRESUBIN ORIGINAL | PACK 500ML;Bolsa;15,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;635814;SARCOPEN 30 SACH 24GR;SACHE;72,00;18,00;30,00;84,00;30,00;84,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;483,00;117,53;182,98;548,45;182,98;548,45;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
