ID,FILIALNAME,DATAT0,DATATF,TIPOMATERIAL,COD_MATERIAL,NOME_MATERIAL,UM,QTDE_SALDO_INIC,QTDE_SALDO_FINAL,QTDE_E_TOTAL,QTDE_S_TOTAL,QTDE_E_NF,QTDE_S_PAC,QTDE_E_INI_SD,QTDE_S_OUTR,QTDE_E_DEVOL,QTDE_S_PERDA,QTDE_E_INVENT,QTDE_S_INVENT,QTDE_E_3OS,QTDE_S_DEVOL,QTDE_S_3OS,VALOR_INIC,VALOR_FINAL,VALOR_E_TOTAL,VALOR_S_TOTAL,VALOR_E_NF,VALOR_S_PAC,VALOR_E_INI_SD,VALOR_S_OUTR,VALOR_E_DEVOL,VALOR_S_PERDA,VALOR_E_INVENT,VALOR_S_INVENT,VALOR_E_3OS,VALOR_S_DEVOL,VALOR_S_3OS
44,CD Único - SP,27/02/2024,28/03/2024,Dietas,637402,DIBEN 1.5 KCAL HP | PACK 1000 ml,Bolsa,108,121,112,99,112,99,0,0,0,0,0,0,0,0,0,4729,52,5373,24,5040,4396,28,5040,4396,28,0,0,0,0,0,0,0,0,0
44,CD Único - SP,27/02/2024,28/03/2024,Dietas,637988,FRESUBIN ENERGY| PACK 1000ML,Bolsa,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,242,242,0,0,0,0,0,0,0,0,0,0,0,0,0
44,CD Único - SP,27/02/2024,28/03/2024,Dietas,636911,FRESUBIN ORIGINAL FIBRE | PACK 1000ML,Bolsa,104,175,240,169,200,129,0,0,0,0,40,40,0,0,0,3055,81,4830,35,6439,28,4664,74,5335,2,3560,66,0,0,0,0,1104,08,1104,08,0,0,0
44,CD Único - SP,27/02/2024,28/03/2024,Dietas,638681,PEPTAMEN JUNIOR| PACK 500ML,Bolsa,36,13,10,33,10,33,0,0,0,0,0,0,0,0,0,2340,845,650,2145,650,2145,0,0,0,0,0,0,0,0,0
44,CD Único - SP,27/02/2024,28/03/2024,Dietas,639844,NUTREN JUST PROTEIN|SACHE 15G,SACHE,307,337,810,780,810,780,0,0,0,0,0,0,0,0,0,2238,02,2456,73,5904,9,5686,19,5904,9,5686,19,0,0,0,0,0,0,0,0,0
44,CD Único - SP,27/02/2024,28/03/2024,Dietas,636217,NUTRIDRINK PROTEIN SEM SABOR LATA 350G,Lata,6,7,8,7,8,7,0,0,0,0,0,0,0,0,0,390,455,520,455,520,455,0,0,0,0,0,0,0,0,0
44,CD Único - SP,27/02/2024,28/03/2024,Dietas,638956,DIBEN 1.0 | PACK 1000ML,Bolsa,31,61,80,50,80,50,0,0,0,0,0,0,0,0,0,1061,15,1990,2560,1631,15,2560,1631,15,0,0,0,0,0,0,0,0,0
44,CD Único - SP,27/02/2024,28/03/2024,Dietas,638844,FREBINI ENERGY DRINK | 200ML MORANGO,Frasco,91,244,368,215,360,208,0,0,0,0,8,7,0,0,0,1085,74,2924,61,4415,89,2577,02,4320,2493,12,0,0,0,0,95,89,83,9,0,0,0
44,CD Único - SP,27/02/2024,28/03/2024,Dietas,640539,FRESUBIN ORIGINAL | PACK 500ML,Bolsa,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,CD Único - SP,27/02/2024,28/03/2024,Dietas,635814,SARCOPEN 30 SACH 24GR,SACHE,72,18,30,84,30,84,0,0,0,0,0,0,0,0,0,483,117,53,182,98,548,45,182,98,548,45,0,0,0,0,0,0,0,0,0
44,CD Único - SP,27/02/2024,28/03/2024,Dietas,636924,FRESUBIN PROTEIN ENERGY DRINK - FRUTAS VERMELHAS | 200ML,Frasco,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,760,760,0,0,0,0,0,0,0,0,0,0,0,0,0
44,CD Único - SP,27/02/2024,28/03/2024,Dietas,641358,MCT TRIGLICERIDEOS DE CADEIA MEDIA| FRASCO 500ML,Frasco,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,257,35,257,35,0,0,0,0,0,0,0,0,0,0,0,0,0
44,CD Único - SP,27/02/2024,28/03/2024,Dietas,638002,FRESUBIN ORIGINAL | PACK 1000ML,Bolsa,6,70,120,56,120,56,0,0,0,0,0,0,0,0,0,159,57,1821,98,3120,1457,59,3120,1457,59,0,0,0,0,0,0,0,0,0
44,CD Único - SP,27/02/2024,28/03/2024,Dietas,640533,NOVASOURCE GC 1.5| SF 1000ML,Frasco,79,147,147,79,126,79,0,0,21,0,0,0,0,0,0,4339,12,8134,99,8167,74,4371,87,7005,6,4371,87,0,0,1162,14,0,0,0,0,0,0
44,CD Único - SP,27/02/2024,28/03/2024,Dietas,641359,NAN SOY | LATA 800G,Lata,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,578,21,578,21,0,0,0,0,0,0,0,0,0,0,0,0,0
44,CD Único - SP,27/02/2024,28/03/2024,Dietas,651396,FRESUBIN 5 KCAL SHOT | EASY BOTTLE 120ML,Frasco,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,410,410,0,0,0,0,0,0,0,0,0,0,0,0,0
44,CD Único - SP,27/02/2024,28/03/2024,Dietas,644414,PEPTAMEN HN| PACK 500ML SF,Frasco,43,0,132,175,132,173,0,0,0,2,0,0,0,0,0,2777,3,0,8580,11357,3,8580,11227,5,0,0,0,129,8,0,0,0,0,0
44,CD Único - SP,27/02/2024,28/03/2024,Dietas,650966,NOVAMIL RICE |  LATA 400 GRAMAS,Lata,11,0,1,12,0,12,0,0,1,0,0,0,0,0,0,3212,6,0,292,05,3504,65,0,3504,65,0,0,292,05,0,0,0,0,0,0
44,CD Único - SP,27/02/2024,28/03/2024,Dietas,644424,ALFAMINO| LATA 400G,Lata,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2322,72,2322,72,0,0,0,0,0,0,0,0,0,0,0,0,0
44,CD Único - SP,27/02/2024,28/03/2024,Dietas,644425,APTAMIL PROEXPERT SL| LATA 400G,Lata,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,530,29,500,15,470,500,14,470,500,14,0,0,0,0,0,0,0,0,0
44,CD Único - SP,27/02/2024,28/03/2024,Dietas,649547,APTANUTRI PREMIUM 3 |800GR,Lata,3,4,4,3,4,3,0,0,0,0,0,0,0,0,0,165,220,220,165,220,165,0,0,0,0,0,0,0,0,0
44,CD Único - SP,27/02/2024,28/03/2024,Dietas,653108,FRESUBIN 2KCAL CREME FRUTAS DA FLORESTA,Pote,67,133,192,126,192,126,0,0,0,0,0,0,0,0,0,1339,75,2659,87,3840,2519,88,3840,2519,88,0,0,0,0,0,0,0,0,0
44,CD Único - SP,27/02/2024,28/03/2024,Dietas,651441,NAN ESPESSAR | LATA 800G,Lata,4,5,4,3,4,3,0,0,0,0,0,0,0,0,0,356,25,437,66,344,262,59,344,262,59,0,0,0,0,0,0,0,0,0
44,CD Único - SP,27/02/2024,28/03/2024,Dietas,656450,APTANUTRI PROFUTURA 3,Lata,3,0,3,6,3,6,0,0,0,0,0,0,0,0,0,216,0,216,432,216,432,0,0,0,0,0,0,0,0,0
44,CD Único - SP,27/02/2024,28/03/2024,Dietas,657726,FRESUBIN HP ENERGY FIBRE | S.F. 1000ML,Bolsa,149,112,9,46,0,46,0,0,9,0,0,0,0,0,0,8152,63,6128,15,492,44,2516,92,0,2516,92,0,0,492,44,0,0,0,0,0,0
44,CD Único - SP,27/02/2024,28/03/2024,Dietas,657729,FIBER MAIS |LATA 260 GRAMAS,Lata,19,20,13,12,11,12,0,0,2,0,0,0,0,0,0,1393,68,1434,39,901,34,860,63,757,9,860,63,0,0,143,44,0,0,0,0,0,0
44,CD Único - SP,27/02/2024,28/03/2024,Dietas,659869,OMEGA-3 TG DHA LIQUID SUPER,Frasco,5,3,2,4,2,4,0,0,0,0,0,0,0,0,0,1530,18,790,58,314,5,1054,1,314,5,1054,1,0,0,0,0,0,0,0,0,0
44,CD Único - SP,27/02/2024,28/03/2024,Dietas,654167,GLUTAMAX | SACHE 5 GRAMAS,SACHE,436,452,689,673,390,673,0,0,255,0,44,0,0,0,0,1316,09,1360,43,2069,93,2025,59,1170,2025,59,0,0,767,5,0,132,43,0,0,0,0
44,CD Único - SP,27/02/2024,28/03/2024,Dietas,656749,PEDIASURE COMPLETE BAUNILHA | 850GR,Lata,5,3,5,7,5,7,0,0,0,0,0,0,0,0,0,585,94,408,51,775,75,953,18,775,75,953,18,0,0,0,0,0,0,0,0,0
44,CD Único - SP,27/02/2024,28/03/2024,Dietas,658004,NUTREN SENIOR LIQUIDO | GARRAFINHA 200ML SABOR BAUNILHA,Frasco,28,28,28,28,28,28,0,0,0,0,0,0,0,0,0,432,6,442,96,453,32,442,96,453,32,442,96,0,0,0,0,0,0,0,0,0
44,CD Único - SP,27/02/2024,28/03/2024,Dietas,661781,FRESUBIN 2KCAL CREME PRALINÉ,Pote,12,97,168,83,168,83,0,0,0,0,0,0,0,0,0,240,1940,3360,1660,3360,1660,0,0,0,0,0,0,0,0,0
44,CD Único - SP,27/02/2024,28/03/2024,Dietas,661473,ENSURE PÓ BAUNILHA |850g,Lata,1,5,5,1,5,1,0,0,0,0,0,0,0,0,0,171,79,949,96,968,16,189,99,968,16,189,99,0,0,0,0,0,0,0,0,0
44,CD Único - SP,27/02/2024,28/03/2024,Dietas,662173,NEOFORTE BAUNILHA| LATA 400 GRAMAS,Lata,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,865,865,865,865,865,865,0,0,0,0,0,0,0,0,0
44,CD Único - SP,27/02/2024,28/03/2024,Dietas,665776,NUTREN JUST PROTEIN | LATA 280 GRAMAS,Lata,3,3,4,4,4,4,0,0,0,0,0,0,0,0,0,323,7,323,7,431,6,431,6,431,6,431,6,0,0,0,0,0,0,0,0,0
44,CD Único - SP,27/02/2024,28/03/2024,Dietas,674661,APTAMIL PREMIUM 2 | LATA 800G,Lata,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1789,41,1789,41,0,0,0,0,0,0,0,0,0,0,0,0,0
44,CD Único - SP,27/02/2024,28/03/2024,Dietas,674662,APTAMIL SENSITIVE ACTIVE | LATA 800G,Lata,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,221,93,221,93,0,0,0,0,0,0,0,0,0,0,0,0,0
44,CD Único - SP,27/02/2024,28/03/2024,Dietas,674667,FRESUBIN ENERGY DRINK SABOR BAUNILHA 200ML,Tetrapack,188,198,192,182,192,182,0,0,0,0,0,0,0,0,0,1885,2,1882,67,1728,1730,53,1728,1730,53,0,0,0,0,0,0,0,0,0
